,자식마명,부마원,부마달러,모마원,모마달러
415,['사이먼스톰'],,"274,382USD ",,"37,670USD "
416,['제니퀸'],"451,805,000원", ,, 
417,['슈퍼럭키보이'],"2,426,805,000원", ,"119,344,000원", 
418,['장산파크'],,"1,503,825USD ",,"94,342USD "
419,['천둥기세'],,"1,083,533USD ",,"62,880USD "
420,['리틀미스'],,"1,503,825USD ",,0 
421,['흥과기쁨'],,"185,213USD ",,0 
422,['창성수호'],,"1,313,155USD ",, 
423,['라이드머니'],,"1,857,000USD ",,"8,470USD "
424,['그린볼트'],,"51,475USD ",,0 
425,['터치마이아델'],,"51,475USD ",,0 
426,['소모에이스'],"1,220,375,000원", ,"155,200,000원", 
427,['마하승리'],,"278,406USD ","78,368,000원", 
428,['문학파로아'],,"8,650,300USD ",,0 
429,['문학젠야타'],,"1,182,992USD ",,0 
430,['피노시스터'],,"2,612,516USD ",,0 
431,['흥바라기'],,"583,280USD ","41,800,000원", 
432,['티케이보이'],,"1,037,810USD ","31,995,000원", 
433,['고고스타'],,"1,037,810USD ",,"34,444USD "
434,['질주대로'],"2,426,805,000원", ,"136,676,000원", 
435,['천마투데이'],,"1,732,000USD ",,850AUD 
436,['럭키클럽'],,"274,382USD ","87,410,000원", 
437,['메인오브킹'],,"339,984USD ",,"2,500USD "
438,['모스트스피드'],,"172,705,000JPY ","105,693,000원", 
439,['피엔에스곧감'],,"578,302,000JPY ","88,771,000원", 
440,['정문라이언'],,"612,935USD ","2,106,000원", 
441,['과천신세계'],,"617,310USD ","223,267,000원", 
442,['파이어하트'],,"1,503,825USD ",,"165,311USD "
443,['비뢰킹'],,"1,083,533USD ","35,943,000원", 
444,['마성혼신'],,"480,001USD ",,0 
445,['꿈가득'],,"1,083,533USD ","120,762,000원", 
446,['신데렐라'],,"190,838USD ",,"3,360USD "
447,['새록새록'],,"1,236,820USD ","141,810,000원", 
448,['효마루'],,"1,236,820USD ",,"41,280USD "
449,['원더풀파워'],,"254,672USD ",,700USD 
450,['그린스카이'],,"339,984USD ","127,806,000원", 
451,['오월강자'],,"210,553USD ",,0 
452,['톱플레이'],,"3,044,000USD ",, 
453,['흥록대부'],,"301,500USD ",, 
454,['메니스퍼트'],,"1,732,000USD ","57,315,000원", 
455,['발리스타'],,"274,382USD ",,400CAD 
456,['대승가온'],,"51,475USD ","6,000,000원", 
457,['마칼루스타'],,"210,553USD ",,"45,754USD "
458,['성실머니'],,"941,936USD ",,"103,395USD "
459,['장산포에버'],,"430,400USD ",,"26,730USD "
460,['마루캐슬'],"76,502,000원", ,"77,630,000원", 
461,['베스트룰즈'],,"3,084,278USD ","24,493,000원", 
462,['올어게인'],,"210,553USD ","7,480,000원", 
463,['울트라시대'],,"1,103,496USD ",,"1,140USD "
464,['아델머스탱'],,"1,732,000USD ","325,130,000원", 
465,['럭키월드'],,"1,810,805USD ","196,259,000원", 
466,['그린짱'],,"1,810,805USD ",,"544,019USD "
467,['좋은관계'],,"1,236,820USD ","157,452,000원", 
468,['크레이지탱크'],,"529,566USD ",,"44,424USD "
469,['스카이홀드'],,"185,213USD ",,"4,650USD "
470,['청담탱크'],,"1,503,825USD ",,"175,695USD "
471,['사만다치타'],,"389,141USD ",,"16,285USD "
472,['슈퍼챔피언'],,"1,810,805USD ",,"17,886USD "
473,['제이호크'],,"1,037,810USD ","210,490,000원", 
474,['영웅대마'],,"172,705,000JPY ","66,436,000원", 
475,['올하트'],,"3,084,278USD ",,"198,994USD "
